hogeschool,type_1,type_2,mean_1,mean_2,n_1,n_2,p_value,corrected_p_value
Avans Hogeschool,B,AD,0.41148325358851673,0.8,418,30,1.6840367747726512e-05,1.6840367747726512e-05
Fontys,B,AD,0.5968819599109132,0.2857142857142857,449,35,0.00041565481921837565,0.00041565481921837565
Zuyd Hogeschool,B,AD,0.3879310344827586,0.8571428571428571,116,7,0.015817251048542386,0.015817251048542386
Hogeschool Rotterdam,B,M,0.4444444444444444,0.0,378,7,4.66965313406449e-50,1.400895940219347e-49
Hogeschool Rotterdam,AD,M,0.5185185185185185,0.0,27,7,1.5595393617735905e-05,4.678618085320772e-05
