study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
communication and multimedia design,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,Designers inclusiviteit interactieontwerp apps kunst augmented kunstwerken gebruikerservaring ontwerpopdrachten ontwerpvaardigheden vlak digitaal HvA ontwerpers specialisten
forensisch onderzoek,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,DNA-onderzoek misdrijf oorzaak brand bewijs opsporen sporen veiligstellen toepassen hypothesen rapportage onderzoekstechnieken DNA-onderzoek typering vergelijking substanties onderzoekstechnieken DNA-onderzoek typering vergelijking substanties Instituut verzekeraars casus experiment opzet onderzoeksgroepen wo-master sprake
toegepaste wiskunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,energienetwerk wachttijden beleggingsportefeuille wo-master sprake
technische natuurkunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,generatie supercomputers kwantummechanica zonnepanelen nano-materialen speakers lenstechnologie principes N&T N&G + thermodynamica golftheorie elektromagnetisme waterraket akoestiek versnellerfysica kwantumfysica stromingsleer interferometer laser opstelling stralingsdetector verdiepingsthema physics verdiepingsthema physics ingangseisen onderwijsinstellingen
maritiem officier,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,managementfunctie wal motortechniek beladen cruiseschip vaart officier besturingstechniek beladen zeeschip stuurman wo-master sprake
logistics engineering,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,goederen pakketje inrichten magazijn evenement vwo-profielen tentamens leerproces adviesrapport transportroutes magazijnontwerp distributielogistiek productielogistiek inkooplogistiek supply simuleren vervoer hbo-master selectieprocedure aansluiting wo-master sprake
hbo-ict,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,virtual ICT-oplossingen ICT-specialist leerroute communiceren duo ICT-richtingen passen ambitie ICT-richtingen tentamens assessments psychologie studievoortgang assessments toon Applied HvA hbo-bachelor Applied
fashion & textile technologies,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,ambitieus mode modewereld aanpakken modevak modewereld opleidingsplaatsen selectiedag opleidingsmanager modebedrijf modebedrijf modewereld mode-industrie modewereld mode-industrie mode-industrie winstdoel vlak digitaal HvA ontwerpers specialisten hogeschool/universiteit Hong Kong hbo-bachelor wo-master sprake
aviation,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,luchthaven steentje luchtvaart luchtvaart vliegtuigtechniek luchthaven vlucht selectieprogramma luchtverkeersleider piloot vwo-profiel uitzondering havo-en vwo-profielen Cultuur vliegtuig luchthaven luchtvaart luchtvaart voertaal introductie luchtvaart luchtvaart selectieprogramma trajecten piloot luchtverkeersleider bedrijfsstage afstudeerrichtingen honoursprogramma's wo-master sprake wo-masters Ruimtevaarttechniek managementgebied luchtvaart Hbo-master hbo-master selectieprocedure
engineering,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,eenvoudiger managementfunctie lead vwo-profielen A transitie industry samenwerkingstraject keuzemogelijkheden hbo-engineer keuzemogelijkheden hbo-engineer keuzemogelijkheden hbo-engineer hbo-master selectieprocedure instroomeisen
