study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
built environment,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Duurzaam, efficiÃ«nt klimaatbestendig wijken Built Environment; Bouwtechnische Maatschappij-profiel afwijkende Built Environment diepe Architectonische Assetmanagement, Mobiliteit, Projectmanagement, Stedenbouw keuzeprogramma verbreedt. Structural HvA Constructie. TU Delft doorstroomminor. Amsterdamse Academie Bouwkunst (4-jarige deeltijd) TU Delft (2-jarige voltijd). TU Delft TU Delft Overige"
applied artificial intelligence,Hogeschool van Amsterdam,M,Amsterdam,Nederlands,1 jaar,"AI-oplossingen? gamechanger artificiÃ«le nadenkt reflecteert ethisch, moreel oogpunt. Applied kennismaken. Applied AI doorstroommaster, bÃ¨tatechnische opgenomen masterprogramma. inschrijvingsproces gevraagd uploaden componenten; (Python), calculus, statistiek. uploaden toelaatbare (zie overzicht) (indien is) geplaatst. Overige Applied AI 1-jarig voltijds Nederlands AI-oplossingen gebruik, geÃ¯mplementeerd consequenties snelheid hoe, Applied Intelligence. beeldverwerking taalverwerking Vision. AI-model classificeren beeld. taalmodellen, getrainde opdrachtcasus AI-model, waarbinnen (fysieke, sociale, technische) waarbinnen AI-oplossing Ã©Ã©n Applied AI-labs HvA. praktijkonderzoek Education; Market Insights; Responsible AI; Financial Innovation; Asset Management; Health Vitality; Legal Tech."
urban technology,Hogeschool van Amsterdam,M,Amsterdam,Nederlands,1 jaar,"creÃ«ren Duurzaam, bereikbaar. schaarste lucht? Urban 1-jarig voltijds MSc Urban bÃ¨tatechnische hbo-bachelor. gewaardeerd diplomawaardeerders International Office (Studentenzaken). taalvaardigheidsniveau Staatsexamen NT2-II. Urban Technology: Aviation; Mechatronica; Built Environment; Bedrijfskunde; Engineering; Elektrotechniek; Engineering; onderwijsblokken: onderwijsblokken Urban Tech aangereikt moment. lezingen kennismaakt Centre Urban Tech. sociaal-technisch Urban Tech grootstedelijke Amsterdam onderzoekt. veldopdracht, evaluatie. Urban Tech Urban Tech wijklogistiek punt. verdediging"
digital design,Hogeschool van Amsterdam,M,Amsterdam,Engels,1 jaar,"Interaction Design-traject Science-programma opleidt ontwerpprofessional. 's werelds ontwerpbenadering, planeetgerichte praktijken. titel), ontwerpervaring geannoteerd Engelse beheersen. portfolio: kandidaten Interactive User Research, UI enzovoort. reflectieve component vervuld workflow ontwerpwereld minimum werkervaring, solliciteren uitstekend designportfolio schoolsetting geproduceerd. verwelkomen sollicitaties kandidaten Interaction gecentreerd Playgrounds: EcologieÃ«n, Interacties ontwerpgerelateerde bubbels teamproject. ondergedompeld leertrajecten ethiek, studieplan meegenomen beoordelingen. onderzoeksgroepen, industriÃ«le gedeelde waarden stemmen werkwijze designgerelateerde verwachtingen studieplan. teamprojecten, ontwerpbureaus, tussentijdse evaluaties. teamproject. genieten masterclasses designgerelateerde Eindbeoordelingen harde tentoonstelling evenement diner bijgewoond partners, liaisons alumni"
digital driven business,Hogeschool van Amsterdam,M,Amsterdam,Engels,1 jaar,"matchmaker data-expertise, bedrijfsexpertise technologieÃ«n? geÃ¯nteresseerd evidence-based analytics? Engelstalige Driven Ã©Ã©n Intelligence. DDB gekenmerkt Driven Business, Bedrijfskunde, bewezen domeinen, Engels, Engelse taalvaardigheid toelatingseisen: Driven Business, studenten: 'domeinen' (die primaire noemen): (bijv. Marketing, Ondernemerschap, Informatiesystemen, Bedrijfskunde); Informatica, ICT; (d.w.z. Logistiek); (die secundaire noemen). Bedrijfskunde/Economie Analytics Ondernemerschap niet-marketeers; bachelordiploma. Driven vervolgmasteropleiding (Nederlands: doorstroommaster), start; vaardig Engels (begrip, spreken) C1-niveau. aangetoond testresultaat. kandidaten vrijgesteld. Engelse taalvaardigheid: Engels gestandaardiseerd Engels vereist. aansluiten, Engels varieert meestal. Engelse testscorerapporten, gemeenschappelijk basisbegrip Engels succes. academisch; studiemateriaal lezen, masterproject socialiseren digital-driven datavertaler. ruwe technologieÃ«n fintech. basiscursussen Emerging Business, Statistics, AI Methods Ethics. Fintech masterproject:"
cybersecurity,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,"beveiligt cyberaanval? computersystemen kwetsbaarheden vinden? mbo4-, studiekeuzecheck. Ad â€“vaardigheden cybersecurityprofessional. (veiligheid Python boosteractiviteiten. Threat Intelligence, Monitoring Ethical Hacking. (blok 7) Ã©Ã©n themaâ€™s, HBO-ICT omvang"
smart media production,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,"wel: aanbiedingen sportmerk, event vakantiebestemming. trailers verleiden serie vaker, specifieker, gepersonaliseerde content. Production (SMP) Ad mbo'ers, havisten vwoâ€™ers diplomaâ€™s toelatingsmogelijkheden. mei ingeschreven HvA, studievertraging opgelopen? vÃ³Ã³r mbo-diploma? afrondingsadvies Ad Production gepersonaliseerde verspreiden Ã©n vermarkten technologieÃ«n. technologieÃ«n (*In Ad Production coderen programmeren). Conversational Campagnes AI Growth Hacking. beroepstaken, geformuleerd leerresultaat. Hub. 5e muzieklabel 6e organiseer event keuzeruimte. stagelopen, bachelor. Ad-opleiding omvang Ad Production doorstroomblok"
software development,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,"software- bouwt? hbo-opleiding? HBO-ICT. mbo4-, studiekeuzecheck. Ad website, webapplicatie app. docententeam. Javascript/Typescript, HTML, CSS Databases. SCRUM, effectievere flexibelere SCRUM applicaties. ronden tentamens. (blok 7) HBO-ICT. hbo-ict Ad-opleiding HvA-opleiding HBO-ICT Ad instroom HBO-ICT."
frontend design & development,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,"code, lastige bouwen? Nederlandstalige Frontend (FDND) Ad Frontend nadere Ad Frontend (FDND) code: webdesign, frontend development. responsive test. informatiearchitectuur, Ã©n HTML, CSS JavaScript. opslaat bouwt. server coderen netwerkverbinding wegvalt. workflow, tooling frameworks, studieonderdelen (Ad) HvA. complexe, hbo-bachelor. Ad FDND Communication Multimedia (CMD)."
biologie en medisch laboratoriumonderzoek,Avans Hogeschool,B,Breda,Nederlands,4 jaar,"(BML) DNA. vindingrijk kritisch. bewijsmateriaal verborgen achtergrond. boeiend onderzoeksresultaten. BML-opleiding BML lesweken. samenhangend projectwerk behandeld. beroepenveld opleveren, oncologie, infectieziekten biotechnologie. duo's verzorgd aangedragen histologie biochemie. BML-opleiding Bovendien samenstellen. lopende Bovendien vrijekeuzemodules Avans BML-studie feite geheel, ware meesterproef masterstudies. Forensic Amsterdam. Wetenschappen, Infection Immunity Molecular Medicine European Forensic Educational Network postgraduate certificate International Forensic Crime"
