study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
digital design,Hogeschool van Amsterdam,M,Amsterdam,Engels,1 jaar,"Het Interaction Design-traject maakt deel uit van het eenjarige internationale voltijd Master of Science-programma in Digital Design, dat je opleidt tot ontwerpprofessional. Deze track bereidt je voor om een aantal van 's werelds grootste uitdagingen aan te pakken door middel van een kritische en ethische ontwerpbenadering, met de nadruk op planeetgerichte en duurzame praktijken."
digital driven business,Hogeschool van Amsterdam,M,Amsterdam,Engels,1 jaar,"Zie jij jezelf als de matchmaker tussen data-expertise, bedrijfsexpertise en opkomende technologieÃ«n? Ben je geÃ¯nteresseerd in het bijdragen aan evidence-based besluitvorming door middel van data analytics? Dan is de Engelstalige master Digital Driven Business de juiste keuze voor jou! In slechts Ã©Ã©n jaar leiden we je op tot een professional op het gebied van Business Intelligence. De Master DDB wordt gekenmerkt door persoonlijke aandacht en kleine groepen studenten."
cybersecurity,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,"Wil jij leren hoe je een bedrijf beveiligt tegen een cyberaanval? Vind je het leuk om te ontdekken hoe de beveiliging van computersystemen in elkaar zit en hoe je kwetsbaarheden in deze systemen kunt vinden? En ben je op zoek naar een praktijkgerichte opleiding, maar wil je geen 4-jarige hbo-bachelor volgen? Dan is de 2-jarige Associate degree Cyber Security iets voor jou."
smart media production,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,"Je kent het wel: vanuit het niets krijg je aanbiedingen van jouw favoriete sportmerk, event of vakantiebestemming. Of er rollen trailers binnen die juist jou verleiden om een nieuwe serie te volgen. Steeds vaker, steeds specifieker, alleen voor jou: gepersonaliseerde dynamische content. Wil jij weten hoe de wereld van dynamische content werkt? Dan is de nieuwe Associate degree Smart Media Production (SMP) iets voor jou."
software development,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,Wil je leren hoe je betrouwbare en gebruiksvriendelijke software- en webapplicaties bouwt? En zoek je een praktijkgerichte hbo-opleiding? Dan is de 2-jarige Associate degree Software Development echt iets voor jou! Je gaat aan de slag met echte opdrachten uit de praktijk. Na je opleiding kun je gaan werken of doorstromen naar de bachelor HBO-ICT.
frontend design & development,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,"Heb jij een passie voor code, het oplossen van lastige problemen en wil je websites en apps gebruiksvriendelijker maken? Wil je leren hoe je interactieve webapplicaties kunt bouwen? Dan is de Nederlandstalige Associate degree Frontend Design & Development (FDND) echt iets voor jou. Deze praktijkgerichte opleiding helpt je in 2 jaar tijd aan een hbo-diploma."
biologie en medisch laboratoriumonderzoek,Avans Hogeschool,B,Breda,Nederlands,4 jaar,Bij de hbo-opleiding Biologie en Medisch Laboratoriumonderzoek (BML) analyseer je biologische materialen met geavanceerde technieken.
bouwkunde,Avans Hogeschool,B,"Den Bosch, Tilburg",Nederlands,4 jaar,"Na de opleiding Bouwkunde werk je aan het toekomstbestendig maken van de gebouwde omgeving. Thema's als klimaat, energieverbruik, grondstoffen en dichte bebouwing vragen om creatieve professionals."
bouwtechnische bedrijfskunde,Avans Hogeschool,B,Tilburg,Nederlands,4 jaar,Bij de hbo-opleiding Bouwtechnische Bedrijfskunde in Tilburg leer je waarom en hoe we bouwen. Dat leer je zowel op school als in de praktijk. Met je voeten in de klei en je blik vooruit.
chemie,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,"Jij bent onderzoekend, houdt van scheikunde en de wereld van moleculen. Na je hbo Chemie kun je kunststoffen, medicijnen of levensmiddelen ontwikkelen of analyseren. Je leert stoffen maken en meten."
chemische technologie,Avans Hogeschool,B,Breda,Nederlands,4 jaar,Bij de hbo-opleiding Chemische Technologie leer je de techniek achter industriële processen en de technologie om producten te maken. Je denkt in grootschalige oplossingen met aandacht voor duurzaamheid en energie.
civiele techniek,Avans Hogeschool,B,"Den Bosch, Tilburg",Nederlands,4 jaar,"Jij wilt de wereld duurzaam leefbaar maken. Bij de hbo-opleiding Civiele Techniek leer je duurzame oplossingen te bedenken voor maatschappelijke vraagstukken in de grond-, wegen- en waterbouw."
communication and multimedia design,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,"Communication & Multimedia Design (CMD) is een hbo-ontwerpopleiding waar creativiteit, technologie, design en onderzoek samenkomen. Je bent analytisch en creatief en je houdt van experimenteren."
elektrotechniek,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,Bij de hbo-opleiding Elektrotechniek leer je hoe snel ontwikkelingen gaan. Zo maken productierobots je smartwatch met energie van zonnepanelen. Ontdek hoe electrical engineering hieraan bijdraagt.
informatica,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,"Met de hbo-opleiding Informatica word je een professionele software engineer die software ontwikkelt, ICT-advies geeft en met nieuwe technologie werkt. Zoals op het gebied van AI of Cyber Security."
mechatronica,Avans Hogeschool,B,Breda,Nederlands,4 jaar,Tijdens de hbo-opleiding Mechatronica staat het gebruik van robots en het ontwerpen van snelle productiemachines centraal.
mens en techniek,Avans Hogeschool,B,Breda,Nederlands,4 jaar,Bij de hbo-opleiding Mens en Techniek | Gezondheidstechnologie leer je hoe je vraagstukken in de zorg oplost door slimme innovaties in te zetten. Zo help je mensen én de gezondheidszorg.
ruimtelijke ontwikkeling,Avans Hogeschool,B,Tilburg,Nederlands,4 jaar,"Jij hebt interesse in de gebouwde omgeving. Bij de hbo-opleiding Ruimtelijke Ontwikkeling leer je gebieden en gebouwen ontwerpen, ontwikkelen en beheren."
technische bedrijfskunde,Avans Hogeschool,B,"Den Bosch, Tilburg",Nederlands,4 jaar,"Word dé procesverbeteraar van de toekomst met de hbo Technische Bedrijfskunde. Zet jouw economische kennis, sociale vaardigheden en affiniteit met techniek in om echt verschil te maken bij bedrijven."
technische informatica,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,Bij de hbo-opleiding Technische Informatica ga je hightech oplossingen bedenken voor apparaten zoals drones of productierobots. Ook ontwikkel je software voor de besturing van elektronische systemen.
werktuigbouwkunde,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,Bij de hbo-opleiding Werktuigbouwkunde buig jij je over het ontwerp van producten en machines. Voor technische problemen bedenk je innovatieve oplossingen. Een mooie mix tussen exacte en technische creativiteit.
built environment,Avans Hogeschool,AD,Den Bosch,Nederlands,2 jaar,"De opleiding Ad Built Environment is een tweejarige praktijkgerichte opleiding, waar je alles leert over de gebouwde omgeving. Tijdens de opleiding leer je alles wat erbij komt kijken om een duurzame omgeving in te richten waar mensen kunnen wonen en werken, en waar water is en goede wegen zijn. Bij het realiseren van projecten in de gebouwde omgeving zijn veel verschillende disciplines betrokken. In onze opleiding doe je basiskennis op over die verschillende vakgebieden en leer je hoe ze met elkaar samenhangen. Zo word je een professional die in staat is om op veel posities in built environment je steentje bij te dragen."
engineering,Avans Hogeschool,AD,Den Bosch,Nederlands,2 jaar,"De tweejarige hbo-opleiding Associate degree Engineering leidt je op tot technisch professional. Je legt de verbinding tussen technische uitvoering en overkoepelend beleid. Je leert om op een methodische manier technische problemen op te lossen door het maken van een (her)ontwerp en realisatie daarvan. De opleiding Engineering leidt je op tot technisch professional. Je studietijd is overzichtelijk, want de opleiding duurt maar 2 jaar. Je leert hoe je verbinding legt tussen de techniek en de beleidsmatige vaardigheden die een bachelorstudent leert. Jij bent later de verbindende factor. Bij bedrijven is veel behoefte aan breed opgeleide technici die kunnen communiceren binnen en buiten de organisatie. En die gespecialiseerd zijn in het uitwerken en realiseren van een ontwerp, het optimaliseren of herontwerpen van processen, producten en installaties of zelfs het ontmantelen of hergebruiken daarvan. De behoefte aan hoger opgeleide medewerkers komt door de versnelling van technologische ontwikkelingen binnen de overkoepelende vakgebieden van Werktuigbouwkunde, Mechatronica en Elektrotechniek. Bedrijven willen graag met Ad’ers werken die flexibel, breed inzetbaar en ondernemend zijn, die (technische) problemen kunnen oplossen en daarnaast goed kunnen omgaan met klanten en toeleveranciers."
informatica,Avans Hogeschool,AD,Den Bosch,Nederlands,2 jaar,"Bij de Associate degree Informatica leer je op een procesmatige manier softwaresystemen en applicaties te maken die bedrijfsprocessen automatiseren of om te gebruiken op pcâ€™s en mobiele apparaten. Na deze opleiding weet jij als softwareontwikkelaar hoe software werkt en hoe je daarmee problemen kunt oplossen. Met je object georiÃ«nteerde blik kun je structuur brengen in de oplossing. Je kunt op een brede manier naar software kijken. Het software ontwikkelproces wordt door je beheerst en big data, cloud omgevingen, Internet of Things en datasecurity zijn niet nieuw voor jou. Door je praktische instelling pak je nieuwe ontwikkelmethodieken en progammeertechnieken snel op en ben je een waardevolle kracht binnen een software-ontwikkelteam."
mechatronica,Avans Hogeschool,AD,Breda,Nederlands,2 jaar,"Bij de deeltijdopleiding Mechatronica Associate degree leer je hoe je producten ontwerpt en bestuurt waarin beweging een centrale rol heeft. Je bent een mbo-plusser die werkt in een technische omgeving. Met deze tweejarige Mechatronica Associate degree deeltijd breng je je kennis en vaardigheden op hbo-niveau en ben je klaar voor een volgende stap. Bij de deeltijdopleiding Ad Mechatronica leer je hoe je producten ontwerpt en bestuurt waarin beweging een centrale rol heeft. Denk aan robots of productiemachines. Deze opleiding verbindt kennis uit verschillende vakgebieden: werktuigbouwkunde, elektrotechniek en informatica. Je krijgt werktuigbouwkundige en elektrotechnische vakken. Maar ook mechatronische vakken als besturingstechniek, software-ontwerp, meet- en regeltechniek, systeemdynamica en motion control. Bij de Associate degree Mechatronica speelt je werkomgeving een belangrijke rol. Opdrachten voor je studie zijn vaak aan je praktijk verbonden. Zo ontwikkel je jezelf Ã©n draag je bij aan de werkpraktijk van de mechatronica. Als je bepaalde zaken al weet en dit kunt aantonen, kun je versnellen. Je kunt onderdelen zelfstandig of online bestuderen, of juist in een groep lessen volgen. Een combinatie van deze methodes past vaak het best. Je begeleiders helpen je daarin een goede keuze te maken."
