study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
communication and multimedia design,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Communication (CMD), dÃ© Creatives, Designers! CMD Amsterdam ideeÃ«n Ã©cht CMD inclusiviteit. Communication (CMD) CMD kennen: interactieontwerp gebruiken). beÃ¯nvloeden. kunstwerken, draagbare AI-gestuurde (Waarbij gebruikerservaring verbeteren.) onderwijsprogramma. (ontwerpopdrachten) weken) (keuzeprogrammaâ€™s) HvA, CMD ontwerpvaardigheden HvA HvA technologieÃ«n creÃ«ren"
forensisch onderzoek,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"DNA-onderzoek misdrijf. veiligstellen, strafrechtelijke hypothesen, Opsporingsmethoden. DNA-onderzoek, DNA-onderzoek, Nederlands (NFI) verzekeraars tegengaan. casus. teamverband) HvA. Engeland, Forensic Lausanne, Zwitserland (Franstalig)."
toegepaste wiskunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,energienetwerk Amsterdam? wachttijden zorg? beleggingsportefeuille kaart? uitgebreid. FinanciÃ«le Research. Research. Tenslotte Ã©Ã©n HvA-onderzoeksgroepen. Research. Tenslotte Ã©Ã©n HvA-onderzoeksgroepen. HvA Analytics Amsterdam.
technische natuurkunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"technologieÃ«n supercomputers kwantummechanica, efficiÃ«ntere nano-materialen waanzinnige speakers akoestische lenstechnologie. N&T N&G E&M golftheorie elektromagnetisme. waterraket deeltjes- versnellerfysica, kwantumfysica stromingsleer. interferometer stralingsdetector. Tenslotte HvA-onderzoeksgroepen. Tenslotte HvA-onderzoeksgroepen. ingangseisen"
maritiem officier,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"reizen beide. motortechniek, beladen, Kortom, figuurlijk vwo. (stuurman) (scheepswerktuigkundige) voorlopige navigatie. (zee)stage. uitbrengt. TU Delft Marine Shipping Innovations Willem Barentsz."
logistics engineering,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"pakketje evenement. technologieÃ«n Ã©Ã©n transportroutes magazijnontwerp. klantgerichte distributielogistiek productielogistiek het?) inkooplogistiek nodig?). themaâ€™s; â€˜supply chainâ€™. simuleren, vervoer. reÃ«el Business, HvA. technologieÃ«n Overige Administration richting) Amsterdam (VU). Infrastructure Delft."
hbo-ict,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"technologieÃ«n A.I. reality? ICT-oplossingen efficiÃ«nter HBO-ICT HBO-ICT aangeraden voorbereiden. ICT-specialist. leerroute: IT ICTâ€™er. ICT-richtingen ICT-richtingen. 240 (MSc) HvA Ã©Ã©n HBO-ICT Amsterdam AI), Delft Parallel Computing, Security,"
fashion & textile technologies,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"mode? maatschappelijke, modevak aanbiedt? Textile Technologies Amsterdam Institute (AMFI) carriÃ¨re AMFI. Textile Technologies opleidingsplaatsen (415). selectiedag. eisen: vÃ³Ã³r vÃ³Ã³r 2010, opleidingsmanager AMFI Branding. modebedrijf. AMFI modebedrijf Branding, Branding, AMFI mode-industrie winstdoel (NGO). HvA: HvA hogeschool/universiteit: natuurlijk. Institut FranÃ§ais la Mode Parijs; Domus Academy Milaan; University Epsom; London College Londen; Hong Kong Polytechnic University; University Commerce Luigi Bocconi Milaan; Institute Arnhem."
aviation,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"luchthaven? luchtvaart? Aviation vliegtuigtechniek, vlucht. luchtverkeersleider piloot. vwo-profiel havo-en Aviation lesmateriaal Engels. Engels vliegverkeer introductie. Aviation Air Aviation (AET) Air (ATM). trajecten Commercial Pilot piloot) Air Traffic luchtverkeersleider), (keuzeprogramma bedrijfsstage. Aviation Air Engelstalige honoursprogramma's: Aviation Aviation Aviation: Aviation wo-masters Luchtvaart- Ruimtevaarttechniek TU Delft; managementgebied Cranfield University Engeland; HvA; Aviation HvA. technologieÃ«n"
engineering,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"eenvoudiger coÃ¶rdinerende lead B. industry. carriÃ¨re samenwerkingstraject Business, HvA. technologieÃ«n HvA Overige UVA VU Amsterdam."
biomedische technologie,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"duurder. 'gezonde gezondheidszorg' heeft: langer Ã©n overige gezondheidsproduct. Nederlandse Biomedical Biomedical Physics, Technical Medicine, Health Biomedical Medical"
built environment,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"efficiÃ«nt Environment; Bouwtechnische Maatschappij-profiel afwijkende diepe Architectonische Assetmanagement, Mobiliteit, Stedenbouw Structural HvA TU Delft Amsterdamse Academie Bouwkunst (4-jarige TU Delft (2-jarige voltijd). TU Delft TU Delft Overige"
applied artificial intelligence,Hogeschool van Amsterdam,M,Amsterdam,Nederlands,1 jaar,"AI-oplossingen? gamechanger artificiÃ«le nadenkt ethisch, moreel kennismaken. AI doorstroommaster, bÃ¨tatechnische opgenomen inschrijvingsproces componenten; (Python), toelaatbare overzicht) (indien is) geplaatst. Overige AI Nederlands AI-oplossingen gebruik, geÃ¯mplementeerd hoe, Intelligence. taalverwerking AI-model classificeren beeld. taalmodellen, getrainde opdrachtcasus AI-model, (fysieke, technische) AI-oplossing Ã©Ã©n AI-labs HvA. Education; Market Insights; AI; Financial Innovation; Health Vitality; Legal Tech."
urban technology,Hogeschool van Amsterdam,M,Amsterdam,Nederlands,1 jaar,"creÃ«ren bereikbaar. MSc bÃ¨tatechnische gewaardeerd diplomawaardeerders Office (Studentenzaken). taalvaardigheidsniveau Staatsexamen NT2-II. Technology: Aviation; Environment; onderwijsblokken: onderwijsblokken moment. Centre Tech. sociaal-technisch grootstedelijke Amsterdam veldopdracht, evaluatie. wijklogistiek punt. verdediging"
digital design,Hogeschool van Amsterdam,M,Amsterdam,Engels,1 jaar,"Design-traject Science-programma ontwerpprofessional. werelds ontwerpbenadering, planeetgerichte praktijken. titel), geannoteerd Engelse Interactive UI reflectieve component vervuld workflow ontwerpwereld werkervaring, designportfolio schoolsetting verwelkomen sollicitaties gecentreerd Playgrounds: EcologieÃ«n, ontwerpgerelateerde bubbels leertrajecten meegenomen beoordelingen. industriÃ«le gedeelde studieplan. teamprojecten, ontwerpbureaus, evaluaties. genieten Eindbeoordelingen harde tentoonstelling evenement diner bijgewoond partners, liaisons alumni"
digital driven business,Hogeschool van Amsterdam,M,Amsterdam,Engels,1 jaar,"matchmaker data-expertise, bedrijfsexpertise technologieÃ«n? geÃ¯nteresseerd analytics? Engelstalige Ã©Ã©n Intelligence. DDB gekenmerkt Business, Bedrijfskunde, bewezen domeinen, Engels, Engelse Business, 'domeinen' noemen): Informatiesystemen, Bedrijfskunde); ICT; (d.w.z. Logistiek); secundaire noemen). Bedrijfskunde/Economie Analytics niet-marketeers; bachelordiploma. vervolgmasteropleiding (Nederlands: doorstroommaster), Engels (begrip, spreken) C1-niveau. testresultaat. vrijgesteld. Engelse Engels gestandaardiseerd Engels Engels meestal. Engelse testscorerapporten, basisbegrip Engels academisch; studiemateriaal masterproject socialiseren digital-driven datavertaler. ruwe technologieÃ«n fintech. basiscursussen Emerging Business, Statistics, AI Methods Ethics. Fintech masterproject:"
cybersecurity,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,"beveiligt cyberaanval? kwetsbaarheden vinden? Ad â€“vaardigheden cybersecurityprofessional. (veiligheid Python boosteractiviteiten. Threat Intelligence, Monitoring Ethical Hacking. Ã©Ã©n HBO-ICT"
smart media production,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,"aanbiedingen sportmerk, vakantiebestemming. trailers verleiden vaker, specifieker, content. (SMP) Ad mbo'ers, vwoâ€™ers toelatingsmogelijkheden. mei ingeschreven HvA, opgelopen? vÃ³Ã³r mbo-diploma? afrondingsadvies Ad verspreiden Ã©n vermarkten technologieÃ«n. technologieÃ«n (*In Ad programmeren). Conversational Campagnes AI Growth Hacking. beroepstaken, geformuleerd leerresultaat. Hub. 5e muzieklabel 6e stagelopen, Ad-opleiding Ad doorstroomblok"
