study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
communication and multimedia design,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Communication (CMD), dÃ© Creatives, Designers! CMD Amsterdam ideeÃ«n Ã©cht CMD inclusiviteit. Communication (CMD) CMD kennen: interactieontwerp gebruiken). beÃ¯nvloeden. kunstwerken, draagbare AI-gestuurde (Waarbij gebruikerservaring verbeteren.) onderwijsprogramma. (ontwerpopdrachten) weken) (keuzeprogrammaâ€™s) HvA, CMD ontwerpvaardigheden HvA HvA technologieÃ«n creÃ«ren Business."
forensisch onderzoek,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"DNA-onderzoek misdrijf. veiligstellen, strafrechtelijke hypothesen, Opsporingsmethoden. DNA-onderzoek, DNA-onderzoek, Nederlands (NFI) verzekeraars tegengaan. casus. teamverband) HvA. Engeland, Forensic Lausanne, Zwitserland (Franstalig)."
toegepaste wiskunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"energienetwerk Amsterdam? wachttijden zorg? beleggingsportefeuille kaart? uitgebreid. Calculus, FinanciÃ«le Research. Research. Tenslotte Ã©Ã©n HvA-onderzoeksgroepen. Research. Tenslotte Ã©Ã©n HvA-onderzoeksgroepen. HvA Analytics Amsterdam."
technische natuurkunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"technologieÃ«n supercomputers kwantummechanica, efficiÃ«ntere nano-materialen waanzinnige speakers akoestische lenstechnologie. N&T N&G E&M golftheorie elektromagnetisme. waterraket deeltjes- versnellerfysica, kwantumfysica stromingsleer. interferometer stralingsdetector. Tenslotte HvA-onderzoeksgroepen. Tenslotte HvA-onderzoeksgroepen. ingangseisen"
maritiem officier,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"reizen beide. motortechniek, beladen, Kortom, figuurlijk vwo. (stuurman) (scheepswerktuigkundige) voorlopige navigatie. (zee)stage. uitbrengt. TU Delft Marine Shipping Innovations Willem Barentsz."
logistics engineering,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"pakketje evenement. technologieÃ«n Ã©Ã©n transportroutes magazijnontwerp. klantgerichte distributielogistiek productielogistiek het?) inkooplogistiek nodig?). themaâ€™s; â€˜supply chainâ€™. simuleren, vervoer. reÃ«el Business, HvA. technologieÃ«n Overige Administration richting) Amsterdam (VU). Transport, Infrastructure Delft."
hbo-ict,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"technologieÃ«n A.I. reality? ICT-oplossingen efficiÃ«nter HBO-ICT HBO-ICT aangeraden voorbereiden. ICT-specialist. leerroute: IT ICTâ€™er. ICT-richtingen ICT-richtingen. 240 (MSc) HvA Ã©Ã©n HBO-ICT Amsterdam AI), Delft Parallel Computing, Security,"
fashion & textile technologies,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"mode? maatschappelijke, modevak aanbiedt? Textile Technologies Amsterdam Institute (AMFI) carriÃ¨re AMFI. Textile Technologies opleidingsplaatsen (415). selectiedag. eisen: vÃ³Ã³r vÃ³Ã³r 2010, opleidingsmanager AMFI Branding. modebedrijf. AMFI modebedrijf Branding, Branding, AMFI mode-industrie winstdoel (NGO). HvA: HvA hogeschool/universiteit: natuurlijk. Institut FranÃ§ais la Mode Parijs; Domus Academy Milaan; University Arts Epsom; London College Londen; Hong Kong Polytechnic University; University Commerce Luigi Bocconi Milaan; Institute Arnhem."
aviation,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"luchthaven? luchtvaart? Aviation vliegtuigtechniek, vlucht. luchtverkeersleider piloot. vwo-profiel havo-en Aviation lesmateriaal Engels. Engels vliegverkeer introductie. Aviation Air Aviation (AET) Air (ATM). trajecten Commercial Pilot piloot) Air Traffic luchtverkeersleider), (keuzeprogramma bedrijfsstage. Aviation Air Engelstalige honoursprogramma's: Aviation Aviation Aviation: Aviation wo-masters Luchtvaart- Ruimtevaarttechniek TU Delft; managementgebied Cranfield University Engeland; HvA; Aviation HvA. technologieÃ«n"
engineering,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"eenvoudiger coÃ¶rdinerende lead B. industry. carriÃ¨re samenwerkingstraject Business, HvA. technologieÃ«n HvA Overige UVA VU Amsterdam. instroomeisen."
