study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
elektrotechniek,Fontys,AD,Eindhoven,Nederlands,2 jaar,Fontys-opleiding
werktuigbouwkunde,Fontys,AD,Eindhoven,Nederlands,2 jaar,Brainport Fontys-opleiding
applied data science & artificial intelligence,De Haagse Hogeschool,B,"Den Haag, Zoetermeer",Nederlands,4 jaar,ChatGPT
bouwkunde,De Haagse Hogeschool,B,Den Haag,Nederlands,4 jaar,Klimaateffecten
chemische technologie,De Haagse Hogeschool,B,Den Haag,Engels,4 jaar,Chemical
civiele techniek,De Haagse Hogeschool,B,Den Haag,Nederlands,4 jaar,
communication and multimedia design,De Haagse Hogeschool,B,Den Haag,Nederlands,4 jaar,N&G N&T N&G
elektrotechniek,De Haagse Hogeschool,B,Delft,Nederlands,4 jaar,
hbo-ict,De Haagse Hogeschool,B,"Den Haag, Delft, Zoetermeer",Nederlands,4 jaar,
industrieel product ontwerpen,De Haagse Hogeschool,B,Den Haag,Nederlands,4 jaar,N&G
mechatronica,De Haagse Hogeschool,B,Delft,Nederlands,4 jaar,
mens en techniek,De Haagse Hogeschool,B,Den Haag,Nederlands,4 jaar,
ruimtelijke ontwikkeling,De Haagse Hogeschool,B,Den Haag,Nederlands,4 jaar,N&G N&G Milieu-maatschappijwetenschappen
technische bedrijfskunde,De Haagse Hogeschool,B,Delft,Nederlands,4 jaar,
technische natuurkunde,De Haagse Hogeschool,B,Delft,Nederlands,4 jaar,Overstappen TN-opleiding
toegepaste wiskunde,De Haagse Hogeschool,B,Delft,Nederlands,4 jaar,
werktuigbouwkunde,De Haagse Hogeschool,B,Delft,Nederlands,4 jaar,
technische bedrijfskunde,De Haagse Hogeschool,AD,Delft,Nederlands,2 jaar,N&G
bio-informatica,Hanzehogeschool Groningen,B,Groningen,Nederlands,4 jaar,
technische bedrijfskunde,Hanzehogeschool Groningen,B,Groningen,Nederlands,4 jaar,Rijksuniversiteit
industrieel product ontwerpen,Hanzehogeschool Groningen,B,Groningen,Nederlands,4 jaar,
biologie en medisch laboratoriumonderzoek,Hanzehogeschool Groningen,B,Groningen,Nederlands,4 jaar,
hbo-ict,Hanzehogeschool Groningen,B,Groningen,Nederlands,4 jaar,
elektrotechniek,Hanzehogeschool Groningen,B,Groningen,Nederlands,4 jaar,Volg
creative media and game technologies,Hanzehogeschool Groningen,B,Groningen,Engels,4 jaar,Minister
communication and multimedia design,Hanzehogeschool Groningen,B,Groningen,Nederlands,4 jaar,Rijksuniversiteit
chemische technologie,Hanzehogeschool Groningen,B,Groningen,Nederlands,4 jaar,Bouwstenen Duurzame Chemical Rijksuniversiteit
chemie,Hanzehogeschool Groningen,B,Groningen,Nederlands,4 jaar,Bio-analyse Rijksuniversiteit
built environment,Hanzehogeschool Groningen,B,Groningen,Nederlands,4 jaar,
