study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
communication and multimedia design,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Communication Multimedia (CMD), dÃ© Creatives, Makers Designers! CMD Amsterdam ideeÃ«n bedenken, Ã©cht oplost CMD talenten. inclusiviteit. Communication Multimedia (CMD) mbo-4-diploma. nadere vooropleidingseisen. CMD kennen: interactieontwerp (hoe gebruiken). gebruikers, beÃ¯nvloeden. apps, kunst, gebruiksvriendelijke augmented reality. samenstellen gebruikt, kunstwerken, draagbare AI-gestuurde (Waarbij intelligentie gebruikerservaring verbeteren.) onderwijsprogramma. (ontwerpopdrachten) ondersteunende praktijkopdrachten. gezamenlijke stellen. (10 weken) (keuzeprogrammaâ€™s) duren (20 weken). HvA, CMD ontwerpvaardigheden zien. ontwerpopdracht vlak ontwerpen? HvA optie. talentvolle ontwerpers hoogopgeleide specialisten. opleidingspagina Design. HvA aansluiten, Driven technologieÃ«n creÃ«ren opleidingspagina Driven Business."
forensisch onderzoek,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"DNA-onderzoek misdrijf. Achterhalen oorzaak brand. bewijs fraude opsporen. Forensisch forensisch onderzoekstechnieken sporen veiligstellen, strafrechtelijke proces. Forensisch aangevuld hypothesen, recht rapportage onderzoeksvaardigheden Scheikunde, Natuurkunde, Forensische Opsporingsmethoden. natuurwetenschappelijke onderzoekstechnieken. DNA-onderzoek, natuurkundig typering vergelijking substanties. natuurwetenschappelijke onderzoekstechnieken. DNA-onderzoek, natuurkundig typering vergelijking substanties. Nederlands Forensisch Instituut (NFI) verzekeraars fraude tegengaan. (keuzeprogramma). forensische natuurwetenschappelijke forensische casus. teamverband) experiment opzet onderzoeksgroepen HvA. Forensisch Chemie. Engeland, Forensic Lausanne, Zwitserland (Franstalig). wo-master sprake daarover betreffende"
toegepaste wiskunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"perfecte energienetwerk autoâ€™s Amsterdam? wachttijden zorg? beleggingsportefeuille kaart? vwo-diploma, bevonden middelbare geleerd, uitgebreid. anderen. Calculus, FinanciÃ«le Statistiek, Lineaire Algebra Operations Research. opdrachten, afkomstig (keuzeprogramma) Operations Research. Tenslotte Ã©Ã©n HvA-onderzoeksgroepen. (keuzeprogramma) Operations Research. Tenslotte Ã©Ã©n HvA-onderzoeksgroepen. HvA starten, Applied Urban Technology. wo-master sprake Analytics Amsterdam."
technische natuurkunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"technologieÃ«n generatie supercomputers kwantummechanica, efficiÃ«ntere zonnepanelen nano-materialen waanzinnige speakers akoestische lenstechnologie. natuurkundige principes toepassingen. N&T N&G E&M bevonden thermodynamica, golftheorie elektromagnetisme. waterraket akoestiek ruimte. deeltjes- versnellerfysica, optica, kwantumfysica materiaalkunde stromingsleer. interferometer laser opstelling stralingsdetector. lopen, verdiepingsthema physics (keuzeprogramma). Tenslotte HvA-onderzoeksgroepen. lopen, verdiepingsthema physics (keuzeprogramma). Tenslotte HvA-onderzoeksgroepen. (technische) ingangseisen daarover betreffende onderwijsinstellingen."
maritiem officier,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"managementfunctie reizen wereld? wal? jou, Officier beide. motortechniek, navigatie, beladen, Kortom, avontuurlijke letterlijk figuurlijk groter vwo-diploma, bevonden vwo. Officier container- cruiseschip vaart houdt. vak, nautisch (stuurman) (scheepswerktuigkundige) gebied. varen. werkzaamheden officier verricht werkzaamheden voorlopige specialisatie: nautisch technisch. nautische werkzaamheden. besturingstechniek beladen navigatie. zeeschip. functioneert stuurman scheepswerktuigkundige. (keuzeprogramma). (zee)stage. gebied, uitbrengt. Officier wo-master sprake TU Delft Marine Shipping Innovations Instituut Willem Barentsz."
logistics engineering,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"goederen bezorgen pakketje huis, inrichten magazijn evenement. Logistics technologieÃ«n vwo-diploma, vwo-profielen Ã©Ã©n praktijkopdrachten, serious games. groep. tentamens; beoordeeld leerproces eindproduct, adviesrapport transportroutes magazijnontwerp. thema: klantgerichte (wat klant?), distributielogistiek (hoe ik klant?), productielogistiek (hoe ik het?) inkooplogistiek (wat ik nodig?). verbinden themaâ€™s; zogeheten â€˜supply chainâ€™. simuleren, ICT vervoer. reÃ«el bedenkt. (keuzeprogramma). masters: Logistics data-analyse technologie? hbo-master Driven Business, HvA. technologieÃ«n modellen. selectieprocedure. Overige masters: Logistics aansluiting Administration richting) Amsterdam (VU). Transport, Infrastructure Logistics Delft. wo-master echter sprake daarover betreffende"
hbo-ict,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"apps, technologieÃ«n blockchain, A.I. virtual reality? nadenken zorg, beveiligen? ICT-oplossingen efficiÃ«nter HBO-ICT HBO-ICT mbo-4-diploma. Indien weinig gehad aangeraden voorbereiden. ICT-specialist. vooraf leerroute: IT Development, Engineering, Informatica. ICTâ€™er. databases inrichten, individueel, duoâ€™s ICT-richtingen vrijheid bepalen. ambitie ICT-richtingen. uitgedaagd gecoacht getoetst tentamens, (product) assessments. gebouwd, psychologie marketing. studievoortgang. assessments 240 (MSc) Applied HvA Ã©Ã©n universiteiten. HBO-ICT Amsterdam Applied AI), Delft Systems. Parallel Computing, Security, meer."
fashion & textile technologies,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"creatief, ambitieus nieuwsgierig, mode? maatschappelijke, zakelijke modewereld aanpakken leeromgeving modevak aanbiedt? Fashion Textile Technologies Amsterdam Fashion Institute (AMFI) carriÃ¨re modewereld. zak? AMFI. Fashion Textile Technologies beschikt beperkt opleidingsplaatsen (415). selectiedag. eisen: nadere vooropleidingseisen. vÃ³Ã³r 2009 vÃ³Ã³r 2010, opleidingsmanager AMFI kiezen: Fashion Fashion Fashion Branding. modebedrijf. AMFI bijzonder richtingen. modebedrijf modewereld. mode-industrie. modewereld ondernemend mode-industrie. richtingen: Fashion Fashion Branding, Fashion Design. richting: Fashion Fashion Branding, Fashion Design. AMFI mode-industrie winstdoel (NGO). HvA: vlak ontwerpen? HvA optie. talentvolle ontwerpers hoogopgeleide specialisten. opleidingspagina Design. hogeschool/universiteit: volgen? natuurlijk. Institut FranÃ§ais la Mode Parijs; Domus Academy Milaan; University Creative Arts Epsom; London College Fashion Londen; Hong Kong Polytechnic University; University Commerce Luigi Bocconi Milaan; Fashion Institute Arnhem. gesteld wo-master sprake"
aviation,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"kloppen luchthaven? Draag steentje luchtvaart? omgeving? Aviation luchtvaart. vliegtuigtechniek, luchthaven vlucht. selectieprogramma luchtverkeersleider piloot. vwo-profiel uitzondering havo-en vwo-profielen Cultuur Aviation vliegtuig onderhoudt. luchthaven luchtvaart. luchtvaart lesmateriaal Engels. Engels voertaal vliegverkeer leiden. introductie. luchtvaart. uitzoeken luchtvaart afstudeerrichting: Aviation Technology Air Management. afstudeerrichting: Aviation Technology (AET) Air (ATM). selectieprogramma speciale trajecten Commercial Pilot Program (specialisatie piloot) Air Traffic (specialisatie luchtverkeersleider), start. (keuzeprogramma bedrijfsstage. afstudeerrichtingen Aviation Technology Air solliciteren Engelstalige honoursprogramma's: Aviation Aviation Engineering. wo-master sprake daarover website betreffende Aviation: Aviation wo-masters Luchtvaart- Ruimtevaarttechniek TU Delft; managementgebied luchtvaart Cranfield University Engeland; Hbo-master Driven HvA; Aviation data-analyse technologie? hbo-master Driven HvA. 1-jarige technologieÃ«n omzet modellen. selectieprocedure."
engineering,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"slimmer, eenvoudiger duurzamer. machines, infrastructuur. groeien. coÃ¶rdinerende rol, managementfunctie lead beschik vwo-diploma, bevonden vwo-profielen verplicht B. energietransitie, transitie industry. erop hbo-niveau. ingedeeld verantwoord baan, carriÃ¨re samenwerkingstraject keuzemogelijkheden, profileren interesses. themaâ€™s. aangereikt. inzetbare hbo-engineer. keuzemogelijkheden, profileren interesses. themaâ€™s. aangereikt. inzetbare hbo-engineer. keuzemogelijkheden, profileren interesses. themaâ€™s. aangereikt. inzetbare hbo-engineer. masters: data-analyse technologie? hbo-master Driven Business, HvA. technologieÃ«n modellen. selectieprocedure. Urban Technology HvA Overige masters: Engineering, Electrical UVA VU Amsterdam. instellingen instroomeisen. daarover betreffende"
