study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
communication and multimedia design,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,Designers inclusiviteit interactieontwerp
forensisch onderzoek,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,DNA-onderzoek misdrijf hypothesen onderzoekstechnieken DNA-onderzoek typering vergelijking substanties DNA-onderzoek typering vergelijking substanties verzekeraars
toegepaste wiskunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,energienetwerk
technische natuurkunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,supercomputers nano-materialen speakers lenstechnologie N&G elektromagnetisme waterraket akoestiek verdiepingsthema ingangseisen
maritiem officier,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,managementfunctie beladen cruiseschip
logistics engineering,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,goederen pakketje evenement transportroutes magazijnontwerp distributielogistiek
hbo-ict,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,virtual ICT-oplossingen ICT-richtingen toon
fashion & textile technologies,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,ambitieus mode modebedrijf winstdoel hogeschool/universiteit Hong
aviation,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,vliegtuigtechniek selectieprogramma luchtverkeersleider uitzondering havo-en vliegtuig selectieprogramma wo-masters managementgebied
engineering,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,managementfunctie samenwerkingstraject hbo-master
biomedische technologie,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,gezondheidsproduct gezondheidsvraagstuk gezondheidsvraagstuk
built environment,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,gelden
applied artificial intelligence,Hogeschool van Amsterdam,M,Amsterdam,Nederlands,1 jaar,AI-oplossingen inschrijvingsproces AI-oplossingen consequenties snelheid taalverwerking opdrachtcasus AI-model AI-oplossing praktijkonderzoek
urban technology,Hogeschool van Amsterdam,M,Amsterdam,Nederlands,1 jaar,diplomawaardeerders onderwijsblokken Urban evaluatie punt verdediging
digital design,Hogeschool van Amsterdam,M,Amsterdam,Engels,1 jaar,Design-traject Science-programma ontwerpbenadering praktijken ontwerpervaring component workflow minimum sollicitaties bubbels beoordelingen begeleiden waarden stemmen teamprojecten tentoonstelling evenement diner
digital driven business,Hogeschool van Amsterdam,M,Amsterdam,Engels,1 jaar,matchmaker Bedrijfskunde/Economie niet-marketeers vervolgmasteropleiding basisbegrip basiscursussen
cybersecurity,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,hbo-bachelor Monitoring Hacking
smart media production,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,aanbiedingen mbo'ers afrondingsadvies vermarkten content Hacking muzieklabel Ad-opleiding
software development,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,webapplicatie hbo-ict Ad-opleiding HvA-opleiding instroom
frontend design & development,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,informatiearchitectuur netwerkverbinding workflow tooling
biologie en medisch laboratoriumonderzoek,Avans Hogeschool,B,Breda,Nederlands,4 jaar,onderzoeksresultaten BML-opleiding lesweken infectieziekten duo's histologie BML-opleiding complexer feite masterstudies Wetenschappen
bouwkunde,Avans Hogeschool,B,"Den Bosch, Tilburg",Nederlands,4 jaar,bebouwing bouwmethodieken biobased hergebruik adviseurs eindgebruikers materiaalgebruik Academie constructeursopleiding
bouwtechnische bedrijfskunde,Avans Hogeschool,B,Tilburg,Nederlands,4 jaar,verantwoordelijkheidsgevoel keren
chemie,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,Proeven secuur polymeerontwikkeling vrijekeuzeruimte chemiestudies
chemische technologie,Avans Hogeschool,B,Breda,Nederlands,4 jaar,bedrijfsstage Procesautomatisering Watertechnologie
civiele techniek,Avans Hogeschool,B,"Den Bosch, Tilburg",Nederlands,4 jaar,stations bewondering stammodules
communication and multimedia design,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,hbo-ontwerpopleiding mediavormgeving studententelefoon studententelefoon multimedia-opleiding animatie multimedia-opleiding eindpresentatie CMD-opleiding
elektrotechniek,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,superbatterijen datacommunicatie datacommunicatie energiemanagement DC-netwerken procestechniek
informatica,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,ICT-advies IT-opleiding structureren Herken ICT-vakgebied AI-systeem profilering
mechatronica,Avans Hogeschool,B,Breda,Nederlands,4 jaar,productiemachines nieuwsgierigheid themablokken collegejaar delen automatisering/robotisering hbo-instelling
mens en techniek,Avans Hogeschool,B,Breda,Nederlands,4 jaar,Gezondheidstechnologie Herken gezondheidstechnoloog praktijkvraagstuk wearables zorgoplossing zorgorganisaties zorgorganisaties patiëntbehoefte onderzoeksaanpak stageproject gezondheidszorgtechnoloog pre-masters
ruimtelijke ontwikkeling,Avans Hogeschool,B,Tilburg,Nederlands,4 jaar,investeerder vastgoedbedrijf woningbouwcorporatie post-hbo Vereniging Maatschappijen
technische bedrijfskunde,Avans Hogeschool,B,"Den Bosch, Tilburg",Nederlands,4 jaar,procesverbeteraar puzzelaar overbrengen kenmerken klussen bedrijfsexcursies keteninnovatie faculteit Wetenschappen
technische informatica,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,kenmerken systeemontwikkeling opdoen televisie nabootsen omgevingen televisie visualisaties
werktuigbouwkunde,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,buig kleinschaligheid productietechniek hijsinrichting designproces gereedschappen hbo-bachelor
built environment,Avans Hogeschool,AD,Den Bosch,Nederlands,2 jaar,posities specialisatie/keuzemodule wijkontwerp maatwerkprogramma
engineering,Avans Hogeschool,AD,Den Bosch,Nederlands,2 jaar,studietijd factor herontwerpen hergebruiken versnelling toeleveranciers forever zorginnovatie Meettechniek uitstroomrichtingen vaktechniek maatwerkprogramma
informatica,Avans Hogeschool,AD,Den Bosch,Nederlands,2 jaar,ontwikkelmethodieken mail agile-scrum Java-applicatie Buurtactiviteit Java-applicatie OOP-vorm Android-applicatie OOP-vorm mobile/web-applicatie OOP-vorm encryptie softwareapplicatie ICT-werkomgeving software-ontwikkelproces
mechatronica,Avans Hogeschool,AD,Breda,Nederlands,2 jaar,software-ontwerp systeemdynamica begeleiders bedrijfsgegevens Validering deeltijdopleidingen energieconsumptie -productie informatietechnologieën computersimulaties Opwekking elektriciteitsvoorziening Productietechnologie machineonderdelen businesspartners businessunit businesspartners Avans+ werkenden maatwerk
applied data science & artificial intelligence,Breda University of Applied Sciences,B,Breda,Engels,4 jaar,AI-technologieën behandelingen dataspecialist AI-programmeur projectmanager/consultant advisering DataLab DataLab Programming Translator DataLab toepassingsgebied beoordeling partnerinstellingen combineren
tourism (joint degree),Breda University of Applied Sciences,B,Breda,Engels,4 jaar,toeristen welvaart natuurgebied onderwijsbegeleiding studiegids webinars theorieën watergebruik familie religie wetenschapsfilosofie milieuwetenschappen bestaanszekerheid
built environment,Breda University of Applied Sciences,B,Breda,Nederlands,4 jaar,dorpen mobiliteitsoplossingen inleiding tab completer overheidsinstelling afdeling
creative media and game technologies,Breda University of Applied Sciences,B,Breda,Engels,4 jaar,game-opleiding films Programming game-opleiding game-industrie game-technologie animatie ontwikkelwensen artist
logistics engineering,Breda University of Applied Sciences,B,Breda,"Nederlands, Engels",4 jaar,levering vliegvelden data-toepassingen goederen teamgenoten Bedrijfsbezoeken Excel zorgen Excel formules Excel stapsgewijs chains chains Distributielogistiek bedrijfsmentor afstudeerjaar Defensie materieel bestellingen entreeproces aankomst fouillering hogeschoolbegeleider
game technology,Breda University of Applied Sciences,M,Breda,Engels,1 jaar,game-industrie voorbeeldmodel production gamestudio bijkomstigheid deelnemers
hbo-ict,Christelijke Hogeschool Ede,B,Ede,Nederlands,4 jaar,voorraden vakantie ICT-professionals IT-oplossingen nationaliteit UX-designer ICT-consultant
informatica,Fontys,B,Venlo,"Nederlands, Engels, Duits",4 jaar,doorzetter ICT'er praktijkgericht Fontys-opleiding Fontys-opleiding computertoepassingen functionaliteiten hoogstandjes managers IT-oplossingen gesprekspartner organisatieniveaus concurrenten ervaringen kwetsbaarder aanvallen stadium hacking kwaadwillenden wasmachine verlichting Programming groepsvorm doelgroepen informaticus
technische natuurkunde,Fontys,B,Eindhoven,Nederlands,4 jaar,röntgenapparatuur geluidsveiligheid natuurkundevakken meten dataverwerking
applied science,Fontys,B,Eindhoven,Nederlands,4 jaar,chemicaliën eerstejaars waterstofproductie DNA-onderzoek denkvermogen
automotive,Fontys,B,Eindhoven,Nederlands,4 jaar,brandstofverbruik WIS WIS Fontys-opleiding Fontys-opleiding techniekdomein automotive-kennis engineeringdomein constructions motormanagementsystemen afstudeerpresentatie www.fontys.nl/pro
