study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text,study_programme_length_type,text_nouns,tokens
communication and multimedia design,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Ontdek Communication and Multimedia Design (CMD), dé opleiding voor Creatives, Makers en Designers! Bij CMD in Amsterdam leer je niet alleen om leuke ideeën te bedenken, maar vooral om ze écht te maken. Of je nu graag creatieve problemen oplost of beter wilt worden in ontwerpen, bij CMD ontwikkel je zowel je technische als creatieve talenten. Tijdens de opleiding leer je alles over visuele en interactieve vormgeving en technisch design, met veel aandacht voor duurzaamheid en inclusiviteit. Je wordt tot de hbo-opleiding Communication and Multimedia Design (CMD) toegelaten als je in het bezit bent van een havo-, vwo- of mbo-4-diploma. Er gelden geen nadere vooropleidingseisen. Bij CMD leer je het volledige ontwerpproces kennen: van techniek en vormgeving tot interactieontwerp (hoe mensen jouw ontwerp gebruiken). Het is belangrijk dat producten aansluiten bij de gebruikers, en dat ontdek je tijdens de opleiding. Ook leer je kritisch na te denken over de impact van jouw ontwerpen op mensen en hoe ze de maatschappij kunnen beïnvloeden. Tijdens de studie werk je aan uitdagende digitale projecten, zoals slimme apps, interactieve kunst, gebruiksvriendelijke websites en augmented reality. Er is veel ruimte om jezelf te ontwikkelen tot de ontwerper die je wilt zijn. Je kunt je eigen programma samenstellen en digitale producten maken die echt worden gebruikt, zoals kunstwerken, draagbare technologie en AI-gestuurde producten. (Waarbij kunstmatige intelligentie helpt om ontwerpen en de gebruikerservaring te verbeteren.) In jaar 1 volgt iedereen hetzelfde onderwijsprogramma. Je werkt aan projecten (ontwerpopdrachten) voor echte opdrachtgevers en je leert vaardigheden tijdens ondersteunende vakken die je meteen kunt gebruiken in praktijkopdrachten. Jaar 2 begint weer met gezamenlijke vakken en projecten. Vanaf de tweede helft van het jaar kun je zelf vakken en projecten kiezen om je eigen onderwijsprogramma samen te stellen. Ook loop je een korte stage (10 weken) bij een bedrijf. In jaar 3 volg je twee minoren (keuzeprogramma’s) die elk een half studiejaar duren (20 weken). Je mag zelf kiezen welke minoren je wilt volgen, zowel binnen als buiten de HvA, en zelfs in het buitenland. In jaar 4 sluit je jouw studie CMD af met een project. Je begint met een stage van 20 weken bij een bedrijf, waar je jouw ontwerpvaardigheden kunt laten zien. Daarna start je met een afstudeerproject waarbij je zelfstandig een zelfgekozen ontwerpopdracht uitvoert. Wil je je graag verder specialiseren op het vlak van digitaal ontwerpen? Dan is de internationale masteropleiding Digital Design van de HvA een goede optie. Deze eenjarige master richt zich op talentvolle ontwerpers uit de hele wereld die zich verder willen ontwikkelen tot hoogopgeleide specialisten. Meer informatie over de master en toelatingseisen vind je op de opleidingspagina Master Digital Design. De HvA biedt ook andere masteropleidingen die goed aansluiten, zoals de eenjarige master Digital Driven Business die zich richt op data, opkomende digitale technologieën en het creëren van unieke waarde voor bedrijven. Meer informatie over deze master en toelatingseisen vind je op de opleidingspagina Master Digital Driven Business.",voltijd,designers gebruikerservaring kunstwerk makers,"['volledige', 'vormgeve', 'cmd', 'samen', 'digital', 'vind', 'stellen', 'masteropleiding', 'specialist', 'augmented', 'week', 'toelatingseisen', 'ontwerper', 'ontwerpvaardighed', 'producten', 'ruimte', 'interactieontwerp', 'specialiseren', 'gebruiken', 'willen', 'visueel', 'driven', 'graag', 'multimedia', 'biedt', 'laten', 'leren', 'gebruikerservaring', 'opleidingspagina', 'begint', 'echt', 'ontwerpen', 'keuzeprogramma', 'zowel', 'korte', 'leuke', 'talenten', 'unieke', 'creëren', 'probleman', 'zelfstandig', 'projecten', 'kunstwerk', 'helft', 'gestuurde', 'toegelaten', 'eenjarige', 'vooropleidingseis', 'makers', 'kunstmatige', 'specialisten', 'creatief', 'vaardigheden', 'beginnen', 'hoogopgeleide', 'ontwerpopdrachten', 'gebruiksvriendelijke', 'ideeën', 'impact', 'gelden', 'half', 'ontdek', 'aansluiten', 'vinden', 'technologie', 'duren', 'technisch', 'master', 'echte', 'twee', 'minoren', 'uniek', 'reality', 'hbo', 'intelligentie', 'slimme', 'waarbij', 'praktijkopdrachten', 'product', 'eenjarig', 'slim', 'nadere', 'kun', 'ontwerpvaardigheden', 'bieden', 'design', 'opleiding', 'creatieve', 'kunstwerken', 'helpt', 'zien', 'denken', 'tweede', 'kunst', 'studie', 'ontwikkel', 'technologieën', 'gezamenlijk', 'studiejaar', 'afstudeerproject', 'optie', 'bedenken', 'app', 'opkomende', 'goede', 'beïnvloeden', 'uitdagende', 'leer', 'draagbare', 'internationaal', 'gebruikt', 'hetzelfde', 'bedrijven', 'écht', 'interactieve', 'praktijkopdracht', 'techniek', 'communication', 'wereld', 'vooropleidingseisen', 'amsterdam', 'richt', 'werken', 'ontwikkelen', 'leert', 'business', 'creatives', 'kunstmatig', 'diploma', 'talentvolle', 'talent', 'kennen', 'stage', 'sluit', 'richten', 'hva', 'designer', 'website', 'inclusiviteit', 'starten', 'idee', 'kort', 'kiezen', 'buitenland', 'volg', 'opkomen', 'digitale', 'saman', 'nadenken', 'opleide', 'maken', 'onderwijsprogramma', 'probleem', 'toelatingsei', 'informatie', 'draagbaar', 'meteen', 'loop', 'kunnen', 'vak', 'vlak', 'wilt', 'digitaal', 'gebruiker', 'weken', 'programma', 'uitvoert', 'jaar', 'mensen', 'masteropleide', 'zelfgekozen', 'masteropleidingen', 'helpen', 'mens', 'start', 'verbeteren', 'werk', 'lopen', 'apps', 'ai', 'bedrijf', 'go', 'samenstellen', 'volgen', 'internationale', 'oplost', 'maatschappij', 'bezit', 'gebruikerservare', 'ondersteunende', 'gebruiksvriendelijk', 'interactief', 'designers', 'goed', 'ondersteunen', 'project', 'vakken', 'aandacht', 'ontwerpopdracht', 'gezamenlijke', 'duurzaamheid', 'leuk', 'technische', 'visuele', 'volgt', 'belangrijk', 'opdrachtgever', 'toelaten', 'dé', 'iedereen', 'talentvol', 'ontwerp', 'werkt', 'uitvoeren', 'uitdagen', 'ontwerpproces', 'datum', 'volledig', 'waarde', 'vormgeving', 'nader', 'kritisch']"
forensisch onderzoek,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"DNA-onderzoek na een misdrijf. Achterhalen wat de oorzaak is van een brand. Of digitaal bewijs van een fraude opsporen. Je leert het tijdens de opleiding Forensisch Onderzoek. Als forensisch onderzoeker ga je aan de slag met onderzoekstechnieken zodat je sporen kunt veiligstellen, analyseren en toepassen voor bijvoorbeeld een strafrechtelijke proces. Je bent toelaatbaar als je in het bezit bent van een havo- of vwo-diploma of een mbo-diploma op niveau 4. Het studieprogramma van Forensisch Onderzoek bestaat uit projecten aangevuld met practica en theorie. Je leert werken met hypothesen, recht en rapportage en doet onderzoeksvaardigheden op. Daarnaast krijg je vakken als Scheikunde, Natuurkunde, Biologie en Forensische Opsporingsmethoden. In jaar 1 en 2 leg je een brede basis met veel aandacht voor de praktijk. Je gaat aan de slag met natuurwetenschappelijke onderzoekstechnieken. Denk aan DNA-onderzoek, natuurkundig onderzoek en onderzoek naar de chemische typering en vergelijking van diverse substanties. In jaar 1 en 2 leg je een brede basis met veel aandacht voor de praktijk. Je gaat aan de slag met natuurwetenschappelijke onderzoekstechnieken. Denk aan DNA-onderzoek, natuurkundig onderzoek en onderzoek naar de chemische typering en vergelijking van diverse substanties. In jaar 3 van je opleiding loop je een half jaar stage. Je gaat bijvoorbeeld aan de slag met chemisch onderzoek bij het Nederlands Forensisch Instituut (NFI) of je onderzoekt hoe verzekeraars fraude beter kunnen tegengaan. Ook volg je een minor (keuzeprogramma). In het laatste jaar pas je al je eerder opgedane forensische en natuurwetenschappelijke kennis en vaardigheden toe in een interessante forensische casus. Daarnaast volg je een multidisciplinair project (in teamverband) waarbij je een experiment opzet en uitvoert voor een zelf gekozen vraagstuk uit het werkveld. De rest van jaar 4 staat in het teken van jouw afstudeeronderzoek. Dit voer je uit bij een organisatie of bij onderzoeksgroepen van de HvA. Met je bachelordiploma Forensisch Onderzoek zijn er verschillende mogelijkheden om je verder te ontwikkelen in het binnen of buitenland. Je kunt bijvoorbeeld doorstromen naar een bachelor of master Biologie of Chemie. In het buitenland kun je kiezen voor diverse masters aan universiteiten in Engeland, en voor een master Forensic Science in Lausanne, Zwitserland (Franstalig). Bij doorstroom van een hbo-bachelor naar een wo-master is bijna altijd sprake van een doorstroom- en schakelprogramma. Meer informatie daarover vind je bij de betreffende universiteit.",voltijd,substantie misdrijf zwitserland verzekeraar brand typering veiligstellen rapportage vergelijking opsporingsmethoden onderzoeksgroepen,"['experiment', 'minor', 'vind', 'bestaat', 'vraagstuk', 'typere', 'natuurwetenschappelijke', 'zodat', 'laat', 'strafrechtelijke', 'opsporen', 'leggen', 'zwitserland', 'ga', 'diverse', 'leren', 'doorstromen', 'doorstroom', 'recht', 'keuzeprogramma', 'franstalig', 'science', 'projecten', 'onderzoekt', 'opspoir', 'slag', 'rapportage', 'teken', 'forensisch', 'vaardigheden', 'instituut', 'sprake', 'lausanne', 'half', 'toelaatbaar', 'gaan', 'vinden', 'praktijk', 'verschillende', 'opzet', 'master', 'krijg', 'biologie', 'hbo', 'waarbij', 'schakelprogramma', 'basis', 'natuurwetenschappelijk', 'engeland', 'aanvullen', 'chemische', 'denk', 'vwo', 'kun', 'gekozen', 'bachelor', 'tegengaan', 'bestaan', 'practica', 'universiteiten', 'fraud', 'opleiding', 'analyseren', 'typering', 'universiteit', 'proces', 'verschillend', 'rest', 'aangevuld', 'organisatie', 'veiligstellen', 'hypothe', 'mogelijkheid', 'dna', 'scheikunde', 'sporen', 'onderzoek', 'onderzoeksvaardigheden', 'brede', 'bachelordiploma', 'krijgen', 'toepassen', 'onderzoeker', 'misdrijf', 'werken', 'ontwikkelen', 'leert', 'diploma', 'werkveld', 'studieprogramma', 'gaat', 'stage', 'nederlands', 'natuurkundig', 'daarnaast', 'daarover', 'breed', 'spraak', 'kiezen', 'kenni', 'buitenland', 'niveau', 'theorie', 'volg', 'opleide', 'staan', 'informatie', 'loop', 'toepas', 'kunnen', 'leg', 'vergelijking', 'laatste', 'digitaal', 'forensische', 'voer', 'hypothesen', 'uitvoert', 'jaar', 'kennis', 'mogelijkheden', 'onderzoeksgroepen', 'lopen', 'substantie', 'multidisciplinair', 'opgedane', 'chemisch', 'volgen', 'casus', 'spoor', 'bezit', 'strafrechtelijk', 'chemie', 'forensic', 'project', 'vakken', 'verzekeraar', 'aandacht', 'interessante', 'divers', 'brand', 'mbo', 'bewijs', 'afstudeeronderzoek', 'nfi', 'teamverband', 'fraude', 'natuurkunde', 'achterhalen', 'onderzoekstechnieken', 'onderzoeken', 'uitvoeren', 'oorzaak', 'vergelijke', 'interessant', 'staat', 'opsporingsmethoden', 'proce', 'will']"
toegepaste wiskunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Hoe leg je het perfecte energienetwerk aan voor elektrische auto’s in Amsterdam? Hoe verkort je de wachttijden in de zorg? Hoe breng je de risico’s van een beleggingsportefeuille in kaart? Bij de opleiding Toegepaste Wiskunde leer je hoe wiskundige methoden en technieken bijdragen aan het oplossen van maatschappelijke vraagstukken. Je wordt tot deze opleiding toegelaten als je in het bezit bent van een havo- of vwo-diploma, een mbo-diploma op niveau 4 of een gelijkwaardig bevonden diploma. Tijdens deze opleiding leer je op een wiskundige manier naar vraagstukken te kijken. De wiskundige kennis en vaardigheden die je op de middelbare school hebt geleerd, worden flink uitgebreid. Verder ontwikkel je de benodigde professionele vaardigheden, zoals het presenteren van jouw resultaten en inzichten aan anderen. Je krijgt vakken als Calculus, Financiële Wiskunde, Statistiek, Lineaire Algebra en Operations Research. De lessen bestaan uit een mix van theorie en praktische opdrachten. Daarmee leer je de wiskunde ook direct toepassen in de praktijk. In het tweede jaar ga je dieper in op de kennis uit jaar 1. Je gaat in groepjes aan de slag met grotere opdrachten, afkomstig van echte bedrijven. Ook leer je hoe je programmeren kunt inzetten bij het oplossen van deze vraagstukken. In jaar 3 en 4 krijg je meer ruimte om je eigen studieprogramma vorm te geven. Je volgt een minor (keuzeprogramma) van een half jaar. Daarnaast kun je kiezen om je verder te verdiepen in bijvoorbeeld Data Science of Operations Research. Tenslotte rond je je opleiding af met een afstudeeropdracht die je uitvoert bij een bedrijf of bij één van de HvA-onderzoeksgroepen. In jaar 3 en 4 krijg je meer ruimte om je eigen studieprogramma vorm te geven. Je volgt een minor (keuzeprogramma) van een half jaar. Daarnaast kun je kiezen om je verder te verdiepen in bijvoorbeeld Data Science of Operations Research. Tenslotte rond je je opleiding af met een afstudeeropdracht die je uitvoert bij een bedrijf of bij één van de HvA-onderzoeksgroepen. Op de HvA worden meerdere goed aansluitende masters aangeboden waarmee je direct na je studie kunt starten, zoals de masters Applied Artificial Intelligence en Urban Technology. Bij doorstroom van een hbo-bachelor naar een wo-master is bijna altijd sprake van een doorstroom- en/of schakelprogramma. Na de opleiding Toegepaste Wiskunde kun je bijvoorbeeld een schakelprogramma starten richting de master Business Analytics aan de Vrije Universiteit Amsterdam.",voltijd,lineaire beleggingsportefeuille calculus wachttijd energienetwerk,"['bijdrage', 'inzetten', 'minor', 'bevinden', 'vraagstuk', 'praktisch', 'resultaat', 'technology', 'intelligence', 'flink', 'middelbare', 'ruimte', 'manier', 'calculus', 'leggen', 'waarmee', 'ga', 'artificial', 'leren', 'vrije', 'echt', 'inzicht', 'toegepaste', 'doorstroom', 'direct', 'keuzeprogramma', 'perfect', 'krijgt', 'geleerd', 'science', 'wachttijden', 'toegelaten', 'groep', 'slag', 'richting', 'vaardigheden', 'zorg', 'mix', 'sprake', 'half', 'gaan', 'aansluiten', 'opdracht', 'praktijk', 'aansluitende', 'maatschappelijk', 'algebra', 'master', 'groepjes', 'twee', 'echte', 'krijg', 'vrij', 'presenteren', 'vorm', 'hbo', 'afstudeeropdracht', 'wiskundige', 'schakelprogramma', 'beleggingsportefeuille', 'vwo', 'kun', 'bachelor', 'verdiepen', 'vraagstukken', 'breng', 'kaart', 'bestaan', 'wachttijd', 'diep', 'aanbieden', 'opleiding', 'opdrachten', 'kijken', 'bijdragen', 'methode', 'universiteit', 'aangeboden', 'afkomstig', 'tweede', 'studie', 'toegepast', 'ontwikkel', 'elektrisch', 'school', 'wiskundig', 'verkort', 'leer', 'urban', 'applied', 'bedrijven', 'grotere', 'middelbaar', 'techniek', 'lineaire', 'data', 'krijgen', 'amsterdam', 'praktische', 'toepassen', 'ontwikkelen', 'perfecte', 'business', 'vaardighede', 'diploma', 'risico', 'studieprogramma', 'professionele', 'resultaten', 'benodigd', 'gaat', 'auto', 'inzetat', 'hva', 'starten', 'richte', 'dieper', 'daarnaast', 'programmeren', 'groot', 'spraak', 'benodigde', 'gelijkwaardig', 'kiezen', 'kenni', 'niveau', 'operations', 'theorie', 'les', 'bevonden', 'maatschappelijke', 'opleide', 'elektrische', 'toepas', 'kunnen', 'vak', 'research', 'leg', 'methoden', 'uitvoert', 'jaar', 'kennis', 'energienetwerk', 'onderzoeksgroepen', 'tenslotte', 'meerdere', 'go', 'bedrijf', 'technieken', 'volgen', 'inzichten', 'bezit', 'daarmee', 'goed', 'uitgebreid', 'analytics', 'vakken', 'financiële', 'mbo', 'één', 'professioneel', 'volgt', 'toelaten', 'uitvoeren', 'statistiek', 'lessen', 'oplossen', 'will', 'wiskunde', 'uitbreiden']"
technische natuurkunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Natuurkunde vormt de basis voor producten en technologieën van de toekomst. Denk aan een nieuwe generatie supercomputers dankzij kwantummechanica, efficiëntere zonnepanelen dankzij nano-materialen of waanzinnige speakers dankzij akoestische lenstechnologie. Bij de opleiding Technische Natuurkunde leer je hoe je natuurkundige principes gebruikt voor het ontwikkelen van technische toepassingen. Je wordt tot deze opleiding toegelaten als je in het bezit bent van een havo- of vwo-diploma met een profiel N&T of N&G + Natuurkunde / NLT en met een vwo-diploma met het profiel E&M + natuurkunde. Met een mbo-diploma op niveau 4 of een gelijkwaardig bevonden diploma ben je ook toelaatbaar. Tijdens de opleiding Technische Natuurkunde ga je in uitdagende projecten aan de slag met het analyseren en oplossen van technische vraagstukken uit de beroepspraktijk. Daarnaast krijg je de vakken Natuurkunde en Wiskunde zodat je de theorie en vaardigheden beheerst om deze vraagstukken op te lossen. In jaar 1 ga je aan de slag met de thema’s mechanica, thermodynamica, golftheorie en elektromagnetisme. Zo bouw je bijvoorbeeld met je team een waterraket en breng je een advies uit over de akoestiek van een ruimte. In jaar 2 verdiep je je in thema's als deeltjes- en versnellerfysica, moderne optica, kwantumfysica en materiaalkunde en stromingsleer. Zo bouw je samen met je team bijvoorbeeld je eigen interferometer met een laser opstelling en je eigen stralingsdetector. In jaar 3 en 4 krijg je meer ruimte om je eigen studieprogramma vorm te geven. Zo kan je bijvoorbeeld stage lopen, een verdiepingsthema volgen op het gebied van energietransitie of hightech physics en volg je een minor (keuzeprogramma). Tenslotte rond je je opleiding af met een afstudeeropdracht die je uitvoert bij een bedrijf of bij 1 van de HvA-onderzoeksgroepen. In jaar 3 en 4 krijg je meer ruimte om je eigen studieprogramma vorm te geven. Zo kan je bijvoorbeeld stage lopen, een verdiepingsthema volgen op het gebied van energietransitie of hightech physics en volg je een minor (keuzeprogramma). Tenslotte rond je je opleiding af met een afstudeeropdracht die je uitvoert bij een bedrijf of bij 1 van de HvA-onderzoeksgroepen. Het is ook mogelijk om na de afronding van je studie Technische Natuurkunde door te studeren. Bijvoorbeeld door een master te gaan doen aan een HBO of een (technische) universiteit. Per masteropleiding gelden andere ingangseisen en in sommige gevallen moet je nog een pre-master doen. Informatie daarover vind je bij de betreffende onderwijsinstellingen.",voltijd,kwantummechanica speaker opstelling supercomputer generatie golftheorie akoestiek interferometer laser waterraket kwantumfysica elektromagnetisme optica,"['profiel', 'waanzinnige', 'samen', 'nano', 'minor', 'vind', 'bevinden', 'speaker', 'vraagstuk', 'physics', 'brengen', 'masteropleiding', 'zodat', 'producten', 'ruimte', 'verdiepingsthema', 'toekomst', 'gebruiken', 'geval', 'supercomputer', 'hightech', 'ga', 'leren', 'lossen', 'keuzeprogramma', 'gevallen', 'interferometer', 'akoestische', 'projecten', 'toegelaten', 'thema', 'nlt', 'slag', 'kwantumfysica', 'bouwen', 'advie', 'vaardigheden', 'opstelle', 'vormen', 'gelden', 'toelaatbaar', 'gaan', 'team', 'zonnepanelen', 'materialen', 'vinden', 'technologie', 'technisch', 'energietransitie', 'master', 'krijg', 'materiaalkunde', 'hbo', 'vorm', 'afstudeeropdracht', 'product', 'basis', 'materiaalkun', 'denk', 'vwo', 'zonnepaneal', 'studeren', 'vraagstukken', 'breng', 'toepassing', 'opleiding', 'analyseren', 'akoestiek', 'onderwijsinstelling', 'laser', 'universiteit', 'beheersen', 'efficiënter', 'studie', 'waterraket', 'technologieën', 'uitdagende', 'leer', 'elektromagnetisme', 'gebruikt', 'verdiep', 'krijgen', 'advies', 'ontwikkelen', 'diploma', 'studieprogramma', 'efficiëntere', 'stage', 'hva', 'versnellerfysica', 'natuurkundig', 'generatie', 'toepassingen', 'daarnaast', 'daarover', 'ingangseisen', 'gelijkwaardig', 'thermodynamica', 'afronde', 'niveau', 'theorie', 'stralingsdetector', 'dankzij', 'modern', 'saman', 'volg', 'nieuw', 'bevonden', 'opleide', 'ingangseis', 'informatie', 'vak', 'beroepspraktijk', 'optica', 'stromingsleer', 'gebied', 'mechanica', 'akoestisch', 'bouw', 'uitvoert', 'jaar', 'masteropleide', 'onderzoeksgroepen', 'beheerst', 'tenslotte', 'onderwijsinstellingen', 'lenstechnologie', 'lopen', 'bedrijf', 'kwantummechanica', 'pre', 'volgen', 'bezit', 'nieuwe', 'principe', 'opstelling', 'project', 'vakken', 'mbo', 'golftheorie', 'moderne', 'technische', 'afronding', 'natuurkunde', 'toelaten', 'principes', 'waanzinnig', 'uitvoeren', 'uitdagen', 'vormt', 'oplossen', 'natuurkundige', 'wiskunde']"
maritiem officier,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Een managementfunctie aan boord en reizen over de hele wereld? Of een mooie baan aan wal? De keuze is aan jou, want de opleiding Maritiem Officier bereidt je voor op beide. Zo leer je over motortechniek, navigatie, beladen, veiligheid en duurzaamheid. Kortom, een interessante en avontuurlijke opleiding die je wereld letterlijk en figuurlijk groter maakt. Je wordt tot deze opleiding toegelaten als je in het bezit bent van een havo- of vwo-diploma, een mbo-diploma op niveau 4 of een gelijkwaardig bevonden diploma. Voor deze opleiding gelden aanvullende eisen voor havo en vwo. Tijdens de opleiding Maritiem Officier leer je hoe je bijvoorbeeld een container- of cruiseschip veilig in de vaart houdt. Het eerste jaar richt je je op alle aspecten van het vak, zowel op nautisch (stuurman) als op technisch (scheepswerktuigkundige) gebied. Na dit studiejaar kies je jouw specialisatie. Tijdens de opleiding ga je 2 keer 5 maanden varen. In jaar 1 leer je welke werkzaamheden een maritiem officier aan boord van een schip verricht en hoe je die werkzaamheden uitvoert. Na dit jaar maak je de voorlopige keuze voor de specialisatie: nautisch of technisch. In jaar 2 verdiep je je verder in de technische of nautische werkzaamheden. Zo leer je meer over besturingstechniek en onderhoud of over veilig beladen en veilige navigatie. In jaar 3 ga je voor het eerst 5 maanden op stage aan boord van een zeeschip. Je leert hoe je functioneert als stuurman of als scheepswerktuigkundige. In het eerste half jaar doe je een minor (keuzeprogramma). Daarna ga je weer 5 maanden op (zee)stage. Je analyseert zelfstandig een vraagstuk op maritiem gebied, waarna je een advies uitbrengt. Vervolgens rond je je opleiding af. Je bachelordiploma Maritiem Officier biedt een goede basis om verder te studeren. Welke master je kunt doen hangt af van de hogeschool of universiteit waar je de master wilt volgen. Bij doorstroom van een hbo-bachelor naar een wo-master is bijna altijd sprake van een doorstroom- en schakelprogramma. Opleidingen die goed aansluiten zijn bijvoorbeeld de master Maritieme Techniek aan de TU Delft of de master of Marine Shipping Innovations aan het Maritiem Instituut Willem Barentsz.",voltijd,cruiseschip navigatie wal maritieme managementfunctie vaart zeeschip stuurman willem officier motortechniek,"['beladen', 'veilige', 'veilig', 'minor', 'doe', 'bevinden', 'opleidingen', 'nautisch', 'verrichten', 'vraagstuk', 'uitbrengen', 'mooi', 'kie', 'gebie', 'willen', 'biedt', 'ga', 'leren', 'doorstroom', 'keuze', 'zowel', 'keuzeprogramma', 'maakt', 'veiligheid', 'havo', 'hoogschool', 'besturingstechniek', 'zelfstandig', 'toegelaten', 'boord', 'letterlijk', 'advie', 'figuurlijk', 'schip', 'werkzaamheden', 'instituut', 'aspecten', 'shipping', 'sprake', 'gelden', 'half', 'gaan', 'aansluiten', 'cruiseschip', 'technisch', 'master', 'baan', 'hbo', 'schakelprogramma', 'basis', 'wal', 'aanvullen', 'vwo', 'studeren', 'bachelor', 'bieden', 'innovations', 'analyseren', 'opleiding', 'universiteit', 'zeeschip', 'scheepswerktuigkundig', 'verricht', 'specialisatie', 'studiejaar', 'goede', 'leer', 'avontuurlijke', 'reizen', 'houden', 'kortom', 'wereld', 'verdiep', 'techniek', 'bachelordiploma', 'advies', 'voorlopig', 'houdt', 'functioneren', 'richt', 'leert', 'uitbrengt', 'diploma', 'werkzaamheid', 'nautische', 'voorbereiden', 'stage', 'richten', 'keer', 'avontuurlijk', 'maritiem', 'hangen', 'waarna', 'groot', 'spraak', 'maritieme', 'gelijkwaardig', 'managementfunctie', 'kiezen', 'niveau', 'eis', 'groter', 'barentsz', 'hogeschool', 'bevonden', 'varen', 'onderhoud', 'opleide', 'maken', 'tu', 'vak', 'wilt', 'gebied', 'voorlopige', 'uitvoert', 'bereidt', 'analyseert', 'jaar', 'maanden', 'zee', 'eisen', 'aanvullende', 'go', 'volgen', 'maand', 'navigatie', 'bezit', 'goed', 'functioneert', 'interessante', 'mooie', 'mbo', 'aspect', 'doen', 'duurzaamheid', 'vaart', 'technische', 'delft', 'maak', 'toelaten', 'hangt', 'belad', 'uitvoeren', 'willem', 'officier', 'interessant', 'scheepswerktuigkundige', 'will', 'marine', 'motortechniek', 'stuurman']"
